Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.2217872,6.8968679,null,780,null,null,null,1377336057232
2,D,52.2217872,6.8968679,null,780,null,null,null,1377336057232
3,1,00,52.22153219394386,6.895786542445421,100,50,null,0,0,1377336472000
4,Blauw ,52.21919754054397,6.896565640345216,107.70001220703125,25,null,136,1.8139500617980957,1377336584000
5,C,52.218097164295614,6.896622721105814,111.0999755859375,5,null,142,0.4378499984741211,1377337056000
6,A,52.2181705897674,6.895720157772303,116.20001220703125,10,null,140,0.4378499984741211,1377337564000
7,C,52.216979269869626,6.899059088900685,115.5,5,null,98,0.9382500052452087,1377338138000
8,Martin Meijers,52.21683325711638,6.899195713922381,107.9000244140625,10,null,200,0,1377338309000
9,Geel ,52.21643876284361,6.902582924813032,104.5,10,null,231,0.06255000084638596,1377338755000
10,C,52.21769445575774,6.889779819175601,96.5999755859375,10,null,322,1.376099944114685,1377339411000
11,B,52.220108695328236,6.894414843991399,103.5999755859375,10,null,359,0,1377339844000
12,Dienst Uitvoering Onderwijs ,52.21840234939009,6.889741010963917,108,10,null,116,0.2502000033855438,1377340353000
13,C,52.218461986631155,6.889444543048739,89.5999755859375,5,null,283,0,1377340492000
