Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.21948612947017,6.895934650674462,100,25,null,333,1.2510000467300415,1377336221000
2,C,52.21948612947017,6.895934650674462,100,25,null,333,1.2510000467300415,1377336221000
3,C,52.21948612947017,6.895934650674462,100,25,null,333,1.2510000467300415,1377336221000
4,A,52.21948612947017,6.895934650674462,100,25,null,333,1.2510000467300415,1377336221000
5,A,52.21948612947017,6.895934650674462,100,25,null,333,1.2510000467300415,1377336221000
6,Martin Meijers,52.21948612947017,6.895934650674462,100,25,null,333,1.2510000467300415,1377336221000
7,oranje,52.21655598375946,6.902590971440077,99.5999755859375,15,null,193,1.9390499591827393,1377337457000
8,C,52.21640586387366,6.894688177853823,97.9000244140625,10,null,283,0.8756999969482422,1377337927000
9,B,52.22005655989051,6.894281739369035,95.70001220703125,10,null,359,0.9382500052452087,1377338406000
10,dienst uitvoering onderwijs,52.21843772102147,6.8895181361585855,91.9000244140625,5,null,179,0.4378499984741211,1377338875000
11,1, 00,52.21983578056097,6.896208906546235,93.9000244140625,10,null,106,0.18765000998973846,1377339291000
12,blauw,52.21936241257936,6.896602772176266,101.29998779296875,15,null,166,0.5004000067710876,1377339570000
