Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22111511230469,6.895251274108887,56,27.77372932434082,null,0,0,1377335881000
2,B,52.221954345703125,6.896710395812988,102,2.332380771636963,null,0,0.3662165403366089,1377336071000
3,2000,52.2302131652832,6.893041133880615,84,5.55697774887085,null,0,0,1377336464000
4,D,52.22025680541992,6.887011528015137,80,1.9849433898925781,null,242.6275634765625,0,1377336852000
5,D,52.22196578979492,6.889028549194336,90,1.9849433898925781,null,92.08740234375,1.1600871086120605,1377336996000
6,D,52.22136306762695,6.895143985748291,103,2.4839484691619873,null,184.37255859375,0,1377337657000
7,dienst uitvoering onderwijs,52.21853256225586,6.889457702636719,99,6.003332614898682,null,0,0,1377337945000
8,A,52.220848083496094,6.895465850830078,89,1.5,null,0,0,1377338267000
9,1,00,52.219818115234375,6.8961310386657715,94,2.729468822479248,null,0,0,1377338400000
10,B,52.22002410888672,6.894285678863525,98,1.9849433898925781,null,128.51806640625,0,1377338574000
11,C,52.216182708740234,6.890230178833008,143,11.567626953125,null,0,0,1377338909000
12,blauw,52.21921920776367,6.896646022796631,117,5.7801384925842285,null,0,0,1377339236000
