Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2201827,6.8959279,null,757,null,null,null,Sat Aug 24 2013 11:14:12 GMT+0200 (CEST)
2,1,50,52.2201827,6.8959279,null,757,null,null,null,Sat Aug 24 2013 11:14:12 GMT+0200 (CEST)
3,D,52.2201827,6.8959279,null,757,null,null,null,Sat Aug 24 2013 11:14:12 GMT+0200 (CEST)
4,B,52.2233722,6.8916214,null,1210,null,null,null,Sat Aug 24 2013 11:21:27 GMT+0200 (CEST)
5,B,52.2217719,6.8954069,null,883,null,null,null,Sat Aug 24 2013 11:24:21 GMT+0200 (CEST)
6,2000,52.2276928,6.8877062,null,1007,null,null,null,Sat Aug 24 2013 11:33:57 GMT+0200 (CEST)
7,D,52.22256293924984,6.889857013782989,88.70001492315163,8,null,164.6999969482422,0.20000000298023224,Sat Aug 24 2013 11:42:20 GMT+0200 (CEST)
8,D,52.22036126296797,6.887122244739783,83.9000000384323,4,null,293.8443298339844,0,Sat Aug 24 2013 11:48:47 GMT+0200 (CEST)
9,dienst uitvoering onderwijs,52.21849781,6.88945181,90.2,8,null,0,0,Sat Aug 24 2013 11:53:53 GMT+0200 (CEST)
10,B,52.21995048865142,6.89428414752117,87.10001853748946,6,null,241.13818359375,1.259269118309021,Sat Aug 24 2013 12:04:36 GMT+0200 (CEST)
11,C,52.216150050240586,6.890848676528711,92.70001685189683,6,null,0,1.804051160812378,Sat Aug 24 2013 12:12:51 GMT+0200 (CEST)
12,oranje,52.21649787,6.90244435,121.8,6,null,0,0,Sat Aug 24 2013 12:23:40 GMT+0200 (CEST)
13,Martin Meijers,52.21694593,6.89925575,109.5,6,null,0,0,Sat Aug 24 2013 12:27:44 GMT+0200 (CEST)
14,A,52.21694552,6.89925479,109.6,8,null,0,0,Sat Aug 24 2013 12:28:15 GMT+0200 (CEST)
15,C,52.21734467244493,6.897645988469592,113.49997405326816,6,null,103.431640625,0,Sat Aug 24 2013 12:34:39 GMT+0200 (CEST)
16,C,52.21732051,6.89756521,115.4,6,null,0,0,Sat Aug 24 2013 12:35:22 GMT+0200 (CEST)
17,blauw,52.219263875121285,6.8966734978068,91.90000033998047,8,null,55.59748458862305,0,Sat Aug 24 2013 12:41:20 GMT+0200 (CEST)
18,1,00,52.21986972,6.89611989,96.3,32,null,0,0,Sat Aug 24 2013 12:43:59 GMT+0200 (CEST)
19,D,52.22101144,6.89531579,90,4,null,107.5,0.20000000298023224,Sat Aug 24 2013 12:48:19 GMT+0200 (CEST)
20,A,52.2208411503376,6.8954571682777654,95.6999975629523,12,null,158.9302978515625,0,Sat Aug 24 2013 12:49:48 GMT+0200 (CEST)
